time,open,high,low,close,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
1633381200,0.282,0.29,0.278,0.288,64.49126674821262,63.16790522194947,NaN,NaN
1633467600,0.286,0.301,0.286,0.298,66.93172530820644,64.14160772220526,NaN,NaN
1633554000,0.298,0.309,0.298,0.307,68.99695250920263,65.08509242705551,NaN,NaN
1633640400,0.307,0.324,0.296,0.322,72.12196586909764,66.58687564480995,NaN,NaN
1633899600,0.321772,0.353712,0.321772,0.353712,77.32553763131705,68.46034255986578,NaN,NaN
1633986000,0.353712,0.36,0.336,0.342,71.98169584924706,69.26740360119406,NaN,NaN
1634072400,0.34,0.394,0.34,0.36,74.85753517971602,69.6935529578504,NaN,NaN
1634158800,0.358,0.368,0.342,0.362,75.16258539397688,69.94145634225738,NaN,NaN
1634245200,0.362,0.403,0.359,0.397,79.78492259231196,70.41797176204008,NaN,NaN
1634504400,0.415,0.448,0.405,0.427,82.74852165121075,70.75296638801413,NaN,NaN
1634590800,0.421,0.421,0.389,0.397,71.46550588038696,70.83871627801327,NaN,NaN
1634677200,0.395,0.414,0.373,0.387,68.13069507589807,71.10978980239226,NaN,NaN
1634763600,0.387,0.457,0.387,0.457,76.42399915590596,72.38510993308273,NaN,NaN
1634850000,0.455,0.492,0.441,0.455,75.81693046586449,73.3028456650396,NaN,NaN
1635109200,0.46,0.464,0.425,0.437,70.39704977683844,73.72468730994144,NaN,NaN
1635195600,0.435,0.46,0.435,0.446,71.49431033682208,74.05058624055685,NaN,NaN
1635282000,0.444,0.526,0.444,0.505,77.40654440610513,74.65127137604988,NaN,NaN
1635368400,0.503,0.564,0.469,0.491,73.510446728263,74.75044858027597,NaN,NaN
1635454800,0.501,0.554,0.469,0.503,74.68653947186363,74.5619487117436,NaN,NaN
1635714000,0.521,0.527,0.497,0.501,74.09607257065328,74.71297562041546,NaN,NaN
1635800400,0.501,0.513,0.444,0.454,61.7425614829474,73.77619178493198,NaN,NaN
1635886800,0.456,0.513,0.444,0.472,64.20400030794514,72.9934357073583,NaN,NaN
1635973200,0.476,0.478,0.393,0.428,54.90475012875247,71.21628053138977,NaN,NaN
1636059600,0.426,0.456,0.389,0.405,50.765564475378696,68.93178359025892,NaN,NaN
1636322400,0.407,0.453,0.407,0.445,56.857153815145544,67.88832987131309,NaN,NaN
1636408800,0.445,0.447,0.407,0.423,52.9749395789709,66.80577590724687,NaN,NaN
1636495200,0.423,0.523,0.423,0.517,64.21729687319325,65.93386860133883,NaN,NaN
1636581600,0.517,0.550953,0.502889,0.542938,66.59078777990243,65.2748584094844,NaN,NaN
1636668000,0.542938,0.546,0.503,0.515,61.83327272872874,64.66316004890514,NaN,NaN
1636927200,0.518,0.542,0.502,0.52,62.35167989373273,64.0101150172559,NaN,NaN
1637013600,0.52,0.542,0.506,0.52,62.35167989373273,62.934767552086434,NaN,NaN
1637100000,0.522,0.532,0.496,0.502,59.005491608948624,61.898699329278266,NaN,NaN
1637186400,0.502,0.512,0.492,0.504,59.26706292399187,60.79730814728743,NaN,NaN
1637272800,0.504,0.517,0.446,0.511,60.223687813945425,59.806423521808306,NaN,NaN
1637532000,0.525,0.594,0.519,0.59,69.05618552076868,60.32882523879554,NaN,NaN
1637618400,0.59,0.646,0.59,0.618,71.47396173974046,60.84810819820949,NaN,NaN
1637704800,0.618,0.654,0.589,0.642,73.39296877118485,62.16869524409752,NaN,NaN
1637791200,0.644,0.657536,0.641755,0.649645,73.99313835829595,63.827807664305894,NaN,NaN
1637877600,0.649645,0.649645,0.488,0.508,51.02707051881022,63.41137314313909,NaN,NaN
1638136800,0.543,0.559,0.486,0.488,48.72731784558164,63.10797159075414,NaN,NaN
1638223200,0.496,0.573,0.441,0.571,57.32344170189421,62.61555336423278,NaN,NaN
1638309600,0.569,0.62,0.547,0.555,55.395397936723455,61.81588266114857,NaN,NaN
1638396000,0.555,0.63,0.551,0.619,61.04016941437123,61.759232424408744,NaN,NaN
1638482400,0.617,0.655,0.585,0.593,57.837904181045914,61.43681987350254,NaN,NaN
1638741600,0.615,0.637,0.603,0.633,61.209519768406615,61.35523700740782,NaN,NaN
1638828000,0.635,0.695,0.627,0.693,65.6471813642741,61.82964341850249,NaN,NaN
1638914400,0.691,0.713,0.667,0.683,64.32633809703242,62.19102021657682,NaN,NaN
1639000800,0.681,0.698,0.67,0.692,65.0087118695951,62.53280764912322,NaN,NaN
1639087200,0.692,0.731,0.636,0.656,60.05986874030061,61.890213593375506,NaN,NaN
1639346400,0.671,0.677,0.632,0.636,57.443579244167786,60.888043415120315,NaN,NaN
1639432800,0.638,0.667,0.632,0.657,59.441408050062805,59.8915033636116,NaN,NaN
1639519200,0.657,0.72,0.649,0.667,60.39488423979815,58.920199498004614,NaN,NaN
1639605600,0.667,0.686,0.615,0.619,53.850851298451204,59.12189812512183,NaN,NaN
1639692000,0.617,0.658,0.603,0.64,56.092397958990624,59.647975276079606,NaN,NaN
1639951200,0.624,0.638,0.587,0.636,55.53903788393169,59.52051786051086,NaN,NaN
1640037600,0.636,0.679,0.624,0.669,59.121923162520986,59.786698233782104,NaN,NaN
1640124000,0.669,0.683,0.659,0.667,58.8125909855616,59.62758548886713,NaN,NaN
1640210400,0.667,0.694,0.664,0.692,61.5226362847555,59.8907806391321,NaN,NaN
1640296800,0.692,0.692,0.68814,0.68814,60.85682166949198,59.86558791778106,NaN,NaN
1640556000,0.693,0.721,0.69,0.703,62.537673086581314,59.643480183660145,NaN,NaN
1640642400,0.703,0.756,0.703,0.754,67.66898716917149,59.882240831670074,NaN,NaN
1640728800,0.754,0.764,0.736,0.752,67.27979596415797,60.044461124138856,NaN,NaN
